timestamp,artist,track,album,source,duration_seconds
#Add your data here 
2026-02-26T22:37:32.493515,Ratatat,Bird Priest,,SomaFM Indie Pop,180
2026-02-26T22:40:32.490678,Youth Lagoon,Football (Radio Edit),,SomaFM Indie Pop,180
2026-02-26T22:43:54.995913,Endearments,Real Deal,,SomaFM Indie Pop,180
2026-02-26T22:46:43.751778,Bombay Bicycle Club,Heaven (Feat. Damon Albarn),,SomaFM Indie Pop,180
2026-02-26T22:51:47.479303,Netorare Fan Club,18,,SomaFM Indie Pop,180
2026-02-26T22:56:28.736078,Minks,Everything's Fine,,SomaFM Indie Pop,180
2026-02-26T22:59:51.237840,Just A Gent,Sounds Of Her Mind (Feat. Samsaruh),,SomaFM Indie Pop,180
2026-02-26T23:03:47.475630,Tennis System,Call It Home,,SomaFM Indie Pop,180
2026-02-26T23:06:13.736976,Snuggle,Woman Lake,,SomaFM Indie Pop,180
2026-02-26T23:09:02.476431,Silver Snails,U Say U Know,,SomaFM Indie Pop,180
2026-02-26T23:12:58.752323,Valery Trails,Winter Palace,,SomaFM Indie Pop,180
2026-02-26T23:16:10.010322,Field Mouse,Netsuke,,SomaFM Indie Pop,180
2026-02-26T23:19:32.478196,Liam Finn,Burn Up The Road,,SomaFM Indie Pop,180
2026-02-26T23:24:25.011465,NoSo,Sugar (Radio Edit),,SomaFM Indie Pop,180
2026-02-26T23:28:09.998588,Slow Pulp,Doubt,,SomaFM Indie Pop,180
2026-02-26T23:30:36.243180,Rocket,Pretending,,SomaFM Indie Pop,180
2026-02-26T23:33:13.738997,Mitski,That's Our Lamp,,SomaFM Indie Pop,180
2026-02-26T23:35:28.737088,Chvrches,Night Sky,,SomaFM Indie Pop,180
2026-02-26T23:39:02.492525,Fleet Foxes,"Naiads, Cassadies",,SomaFM Indie Pop,180
2026-02-26T23:42:13.758574,Hemhora & The Glass Band,World On It's Neck,,SomaFM Indie Pop,180
2026-02-26T23:45:36.250151,Barr Brothers,Run Right Into It (Feat. Land Of Talk),,SomaFM Indie Pop,180
2026-02-26T23:49:55.003068,Moon By Moon,Freshman Year,,SomaFM Indie Pop,180
2026-02-26T23:55:09.998346,Sea Lemon,Crystals (Feat. Benjamin Gibbard),,SomaFM Indie Pop,180
2026-02-26T23:59:17.489328,Stephen Malkmus,Jenny & The Ess-dog,,SomaFM Indie Pop,180
2026-02-27T00:01:54.998581,Elvis Costello,Bullets For The Newborn King,,SomaFM Indie Pop,180
2026-02-27T00:05:28.772399,Pictish Trail,Torch Song,,SomaFM Indie Pop,180
2026-02-27T00:10:10.002369,Mommyheads,It's Only Life,,SomaFM Indie Pop,180
2026-02-27T00:15:36.239583,Royel Otis,Ihysm,,SomaFM Indie Pop,180
2026-02-27T00:18:36.259552,Errors,Holus-Bolus,,SomaFM Indie Pop,180
2026-02-27T00:41:23.493257,Caroline Rose,Everywhere I Go I Bring The Ra,,SomaFM Indie Pop,180
2026-02-27T00:41:46.014677,Flyte,Alabaster Feat. Aimee Mann,,SomaFM Indie Pop,180
2026-02-27T00:59:47.883349,Islands,Drown A Fish,,SomaFM Indie Pop,180
2026-02-27T00:59:59.111860,Otter Petter,Winnebago,,SomaFM Indie Pop,180
2026-02-27T01:04:06.662211,Dodos,Destroyer,,SomaFM Indie Pop,180
2026-02-27T01:07:29.156748,Pains Of Being Pure At Heart,Everything With You,,SomaFM Indie Pop,180
2026-02-27T01:10:29.135397,Domestics,Tunnels And Trains,,SomaFM Indie Pop,180
